language,code_mixed,english

Banglish,Tumi ki korcho?,What are you doing?
Banglish,Amar khide peyechhe.,I am hungry.
Banglish,Tumi aaj free toh?,Are you free today?
Banglish,Amake ekto shomoy dao.,Give me some time.
Banglish,Cholo coffee khete jai.,Let's go have coffee.
Banglish,Amar bari jete hobe.,I have to go home.
Banglish,Ekto opekkha koro.,Wait a little.
Banglish,Tumi ki amake help korte paro?,Can you help me?
Banglish,Ami bujhte pari ni.,I didn't understand.
Banglish,Aaj onek bhalo weather.,The weather is very nice today.
Banglish,Tumi ki amake shunchho?,Are you listening to me?
Banglish,Ami ekto busy.,I'm a bit busy.
Banglish,Tomar phone ta bajchhe.,Your phone is ringing.
Banglish,Tumi ki movie dekhte chau?,Do you want to watch a movie?
Banglish,Kal dekha hobe.,See you tomorrow.
Banglish,Ami onek tired.,I am very tired.
Banglish,Eta koto dam?,How much is this?
Banglish,Ami eta pochhondo korlam.,I liked it.
Banglish,Taratari koro!,Hurry up!
Banglish,Amar deri hoye jacche.,I'm getting late.
Banglish,Ki holo?,What happened?
Banglish,Tomar ki dorkar?,What do you need?
Banglish,Bosh,aaram kore.
Banglish,Ek glass jol dao.,Give me a glass of water.
Banglish,Shob thik ache.,Everything is fine.
Banglish,Amar kharap lagchhe.,I am feeling bad.
Banglish,Wah! Darun lagchhe!,Wow! That's amazing!
Banglish,Amar rosh jacche.,I am getting angry.
Banglish,Ki boring eta.,This is so boring.
Banglish,Ami khub happy.,I am very happy.
Banglish,Eta ki joke chhilo?,Was that a joke?
Banglish,Amar kichu ashe na jaye.,I don't care.
Banglish,Ami chinta korchhi.,I am thinking.
Banglish,Tumi serious toh?,Are you serious?
Banglish,Amar ghum pachhe.,I'm feeling sleepy.
Banglish,Amake maaf karo.,Forgive me.
Banglish,Tumi onek bhalo.,You are very nice.
Banglish,Amar bhoy pachhe.,I'm feeling scared.
Banglish,Tomake dekhe bhalo laglo.,Nice to meet you.
Banglish,Ami ready.,I am ready.
Banglish,Ami dhukte pari?,May I come in?
Banglish,Khub moja holo.,It was a lot of fun.
Banglish,Eta khub kothin.,This is very difficult.
Banglish,Amar mone hoy tumi thik.,I think you are right.
Banglish,Ami kichu bhule gechi.,I forgot something.
Banglish,Tumi khub intelligent.,You are very intelligent.
Banglish,Eta amar dorkar nei.,I don't need this.
Banglish,Mone hochhe brishti hobe.,I think it will rain.
Banglish,Amake ekto akla thakte dao.,Let me be alone.
Banglish,Tumi amar sathe ashbe?,Will you come with me?
Banglish,Amake remind koro.,Remind me.
Banglish,Eta ki bhabe kora hoy?,How is this done?
Banglish,Amar jonne opekkha koro.,Wait for me.
Banglish,Tumi ki moja peyecho?,Did you enjoy?
Banglish,Tomar kaj sesh koro.,Finish your work.
Banglish,Eta bhalo kore poro.,Read it properly.
Banglish,Amake bhango na.,Don't interrupt me.
Banglish,Tumi ki kheyecho?,Have you eaten?
Banglish,Amake bari chhere dao.,Drop me home.
Banglish,Oke dakho.,Call him.
Banglish,Eikhane esho.,Come here.
Banglish,Baire jeyo na.,Don't go outside.
Banglish,Tomar number dao.,Give me your number.
Banglish,Amake bujhao.,Explain it to me.
